"domain","collect","tags_str"
"02alertbilling.com","1616716800","['phishing']"
"02helpcentre-id237.com","1616716800","['phishing']"
"02helps-id13245.com","1616716800","['phishing']"
"03-a-life-ft.com","1616716800","['spam']"
"0312dj.cn","1616716800","['malware']"
"03550e.com","1616716800","['spam']"
"06-a-life-ft.com","1616716800","['spam']"
"061093240018.static.ctinets.com","1616716800","['malware']"
"07949hd.com","1616716800","['spam']"
"08-a-life-ft.com","1616716800","['spam']"
"0i669ingau.com","1616716800","['spam']"
"0qd.cc","1616716800","['malware']"
"10-a-life-ft.com","1616716800","['spam']"
"100080.net","1616716800","['malware']"
"100hit.ru","1616716800","['malware']"
"100of.cn","1616716800","['malware']"
"101.227.251.235:8081","1616716800","['malware']"
"103.39.213.170:36912","1616716800","['malware']"
"103.red-81-36-71.dynamicip.rima-tde.net","1616716800","['malware']"
"1122qt.com","1616716800","['malware']"
"113.140.48.82:8089","1616716800","['malware']"
"115.231.24.187:7867","1616716800","['malware']"
"116.68.160.114:8080","1616716800","['malware']"
"118.25.7.83:36366","1616716800","['malware']"
"119.57.162.18:9145","1616716800","['malware']"
"122.228.19.79:55815","1616716800","['malware']"
"125.46.81.106:1002","1616716800","['malware']"
"125.46.81.106:9080","1616716800","['malware']"
"128.ip-149-202-47.eu","1616716800","['malware']"
"129.211.191.185:47434","1616716800","['malware']"
"152.136.152.45:8888","1616716800","['malware']"
"159.65.114.23:443","1616716800","['malware']"
"16-a-life-ft.com","1616716800","['spam']"
"162.142.125.38:58558","1616716800","['malware']"
"162.247.74.216:60859","1616716800","['malware']"
"162.247.74.27:7680","1616716800","['malware']"
"167.114.98.96:2222","1616716800","['malware']"
"171.25.193.25:443","1616716800","['malware']"
"173msn.com","1616716800","['spam']"
"178-17-170-179.static.as43289.net","1616716800","['malware']"
"178.17.170.179:444","1616716800","['malware']"
"17eb4bd0cf2216ad.xyz","1616716800","['malware']"
"17haoping.com","1616716800","['spam']"
"17my.cc","1616716800","['malware']"
"180.97.80.12:8998","1616716800","['malware']"
"182.73.147.154:8080","1616716800","['malware']"
"185.117.215.9:443","1616716800","['malware']"
"185.129.62.62:32779","1616716800","['malware']"
"185.129.62.62:37736","1616716800","['malware']"
"185.129.62.62:48580","1616716800","['malware']"
"185.129.62.62:8333","1616716800","['malware']"
"185.140.53.8:2040","1616716800","['malware']"
"185.158.114.106:443","1616716800","['malware']"
"185.191.124.143:443","1616716800","['malware']"
"185.220.101.199:9050","1616716800","['malware']"
"185.220.101.8:20008","1616716800","['malware']"
"185.220.101.8:63893","1616716800","['malware']"
"185.220.102.244:9080","1616716800","['malware']"
"185.222.202.12:9030","1616716800","['malware']"
"185.34.33.2:18224","1616716800","['malware']"
"185.34.33.2:9265","1616716800","['malware']"
"187.17.172.218:5859","1616716800","['malware']"
"187.188.236.198:8050","1616716800","['malware']"
"187.188.236.198:8090","1616716800","['malware']"
"189.125.93.48:7074","1616716800","['malware']"
"190.12.66.27:8041","1616716800","['malware']"
"198.23.229.170:60462","1616716800","['malware']"
"1n9knuq6uj.com","1616716800","['spam']"
"20-a-life-ft.com","1616716800","['spam']"
"20-gb-internet-herkese.com","1616716800","['malware']"
"2012-henry-btc.com","1616716800","['generic']"
"2021alfa-bank.ru","1616716800","['phishing']"
"203186054237.static.ctinets.com","1616716800","['malware']"
"204.8.156.142:28692","1616716800","['malware']"
"204.8.156.142:64279","1616716800","['malware']"
"209.141.34.95:9030","1616716800","['malware']"
"20gb-hediye.net","1616716800","['malware']"
"20gbhediyeleriyle.com","1616716800","['malware']"
"20gbinternet-hediyem.net","1616716800","['malware']"
"211-75-141-112.hinet-ip.hinet.net","1616716800","['malware']"
"216-15-95-36.s2850.c3-0.tlg-cbr4.atw-tlg.pa.cable.rcncustomer.com","1616716800","['malware']"
"216.218.134.12:9040","1616716800","['malware']"
"218.245.1.169:8002","1616716800","['malware']"
"218.4.234.74:8082","1616716800","['malware']"
"218.75.211.14:8210","1616716800","['malware']"
"218.93.207.40:9090","1616716800","['malware']"
"221.181.185.200:8080","1616716800","['malware']"
"223bbe8777393.org","1616716800","['generic']"
"23.129.64.211:62478","1616716800","['malware']"
"237.ip-51-178-27.eu","1616716800","['malware']"
"24oplata-blablacar.ru","1616716800","['phishing']"
"24packaging-dhlch.com","1616716800","['spam']"
"27meng.com","1616716800","['malware']"
"293whi78vz.com","1616716800","['spam']"
"2a53xr.com","1616716800","['spam']"
"2j59tr.com","1616716800","['spam']"
"30-a-life-ft.com","1616716800","['spam']"
"31-a-life-ft.com","1616716800","['spam']"
"31.31.216.170:6680","1616716800","['malware']"
"32-a-life-ft.com","1616716800","['spam']"
"34-221-72-89.cprapid.com","1616716800","['phishing']"
"37.120.140.165:1030","1616716800","['malware']"
"37.46.150.142:666","1616716800","['malware']"
"37.49.229.191:23","1616716800","['malware']"
"3aspace.com","1616716800","['malware']"
"3ba2325cdecc3.org","1616716800","['generic']"
"3hk4yorn.55hds.site","1616716800","['malware']"
"404.avideo.icu","1616716800","['malware']"
"45.119.125.86:8080","1616716800","['malware']"
"46.249.62.250:35200","1616716800","['malware']"
"47b0d721.ngrok.io","1616716800","['generic']"
"47k9ar.com","1616716800","['spam']"
"4fps.icu","1616716800","['malware']"
"4tqxepgbs-65.jimdofree.com","1616716800","['phishing']"
"4ygczk.com","1616716800","['spam']"
"5-0-0-0-alfa-bank.ru","1616716800","['phishing']"
"5-0-0-0-ot-alfa-bank.ru","1616716800","['phishing']"
"5.8.10.202:34480","1616716800","['malware']"
"5000-alfa-anticrisis.ru","1616716800","['phishing']"
"5000-alfaclick.ru","1616716800","['phishing']"
"5000-rub-sberbank.ru","1616716800","['phishing']"
"5000otalfa.ru","1616716800","['phishing']"
"50kindabag.xyz","1616716800","['malware']"
"53.ip-51-68-224.eu","1616716800","['malware']"
"59.96.38.148:38421","1616716800","['malware']"
"5d-tc.com","1616716800","['malware']"
"5thstreeteateries.com","1616716800","['malware']"
"6.tcp.ngrok.io","1616716800","['c2']"
"60.29.123.202:6090","1616716800","['malware']"
"61.7.147.29:8080","1616716800","['malware']"
"62.102.148.68:23808","1616716800","['malware']"
"62.102.148.68:30955","1616716800","['malware']"
"62.102.148.68:34678","1616716800","['malware']"
"62.102.148.68:37736","1616716800","['malware']"
"62.102.148.68:46379","1616716800","['malware']"
"62.102.148.68:63893","1616716800","['malware']"
"627-pembatalan.forumz.info","1616716800","['phishing']"
"62ts.hizman.ru","1616716800","['malware']"
"66.230.230.230:18224","1616716800","['malware']"
"66.230.230.230:18814","1616716800","['malware']"
"66.230.230.230:34678","1616716800","['malware']"
"699558464758513594.weebly.com","1616716800","['phishing']"
"69a3byfe76.com","1616716800","['spam']"
"69i0apwal0.com","1616716800","['spam']"
"6scw09migf.com","1616716800","['spam']"
"71tr5fj089.com","1616716800","['spam']"
"74nenact.4fps.icu","1616716800","['malware']"
"7544678.weebly.com","1616716800","['phishing']"
"77.247.181.163:443","1616716800","['malware']"
"770agreementmail.weebly.com","1616716800","['phishing']"
"7ered.dayrisesolar.com","1616716800","['phishing']"
"7q5rktd3b9b2kevy.com","1616716800","['malware']"
"7thbyte.com","1616716800","['malware']"
"8.tcp.ngrok.io","1616716800","['c2']"
"80.67.172.162:3306","1616716800","['malware']"
"80.82.77.33:23320","1616716800","['malware']"
"8402d53c-17e9-4250-8011-20f28f5d404f.certbooster.com","1616716800","['malware']"
"85.93.218.204:9030","1616716800","['malware']"
"900090004.com","1616716800","['malware']"
"915788cbad02bb93ada595f0fc92a934.com","1616716800","['malware']"
"918568cbad02bc93aac595fst0fc92a978.com","1616716800","['malware']"
"9298remember8.com","1616716800","['malware']"
"95.142.161.63:443","1616716800","['malware']"
"99centsdigitals.com","1616716800","['malware']"
"a-rent.youla-paysecrure.ru","1616716800","['phishing']"
"a-yandex.id103021.ru","1616716800","['phishing']"
"a.mintup.xyz","1616716800","['malware']"
"a2v.top","1616716800","['spam']"
"a8foo7btyo.com","1616716800","['spam']"
"aaaaaaaalohin21.000webhostapp.com","1616716800","['phishing']"
"aajuuioo.cam","1616716800","['spam']"
"aakasha.work","1616716800","['spam']"
"aasare.work","1616716800","['spam']"
"aavito.monetapay.ru.com","1616716800","['phishing']"
"abaocy.com","1616716800","['generic']"
"abdurs.space","1616716800","['malware']"
"abnaajn.work","1616716800","['spam']"
"abnijan.work","1616716800","['spam']"
"abnjaina.work","1616716800","['spam']"
"abongo.com","1616716800","['malware']"
"aboumianfestatiomskl.us","1616716800","['spam']"
"abrakandabr.ru:8080","1616716800","['malware']"
"abratcodle.com","1616716800","['malware']"
"absinthiuma.xyz","1616716800","['malware']"
"absupplies.co.uk","1616716800","['malware']"
"abudns.duckdns.org","1616716800","['malware']"
"acadamico.000webhostapp.com","1616716800","['phishing']"
"acanthophis.online","1616716800","['malware']"
"accedisblocca.000webhostapp.com","1616716800","['phishing']"
"accetpaylbcn000.000webhostapp.com","1616716800","['generic']"
"account-concerning.myvnc.com","1616716800","['malware']"
"account-ded.000webhostapp.com","1616716800","['phishing']"
"account-har.000webhostapp.com","1616716800","['phishing']"
"account-netflix.secure-returngov-hm.com","1616716800","['generic']"
"account-update.amozon.co.jp.sing-amoneaz.top","1616716800","['malware']"
"account.live.com.zendezksupportsystem.com","1616716800","['malware']"
"accountupdatesall.com","1616716800","['spam']"
"accursed.top","1616716800","['spam']"
"aceeventsplanner.com","1616716800","['spam']"
"aciabogados.com","1616716800","['malware']"
"acidaburjhgs.us","1616716800","['spam']"
"acmcvet.com","1616716800","['malware']"
"acomdx.work","1616716800","['spam']"
"actfinan.com","1616716800","['spam']"
"activateyourdiscount.com","1616716800","['malware']"
"adam9.ddns.net","1616716800","['c2']"
"adamridley.co.uk","1616716800","['malware']"
"adbavancemsimunssystems.us","1616716800","['spam']"
"addictivecosmically.top","1616716800","['spam']"
"adextech.com","1616716800","['generic']"
"adibasplop.com","1616716800","['spam']"
"admlnk.work","1616716800","['spam']"
"adobe-googleverification.ml","1616716800","['generic']"
"aewonkwonskpo.sytes.net","1616716800","['malware']"
"afsdepl.cam","1616716800","['spam']"
"aggboatwrightmeritain.org","1616716800","['spam']"
"agitopinaholop.uno","1616716800","['generic']"
"agmcarpetcare.co.uk","1616716800","['malware']"
"agsecurite-codebanquepostalefr.tmweb.ru","1616716800","['phishing']"
"ahbeniezerazericemres.site","1616716800","['malware']"
"ahmed070.ddns.net","1616716800","['malware']"
"aiqtest.com","1616716800","['malware']"
"airwatchx.us","1616716800","['spam']"
"airy-like-gruyere.glitch.me","1616716800","['phishing']"
"ajohnsjoap.org","1616716800","['spam']"
"ajtykodycontracting.com","1616716800","['malware']"
"akasouag-12.com","1616716800","['spam']"
"akdao.org","1616716800","['malware']"
"akguntasarim.com","1616716800","['malware']"
"akhtargroup.xyz","1616716800","['malware']"
"akqdw02.top","1616716800","['malware']"
"akrvt04.top","1616716800","['malware']"
"aksigortaileindirimler.tk","1616716800","['malware']"
"akwer03.top","1616716800","['malware']"
"alenko.site","1616716800","['malware']"
"alert1t2.net","1616716800","['malware']"
"alertvirus.tech","1616716800","['generic']"
"alfa-bank-ru.ru","1616716800","['phishing']"
"alfa-bank.payments12783073.ru","1616716800","['phishing']"
"alfa-bank.pays-page.ru","1616716800","['phishing']"
"alfa-bank.pays24-secure.ru","1616716800","['phishing']"
"alfa-korona.ru","1616716800","['phishing']"
"alfa.pays24-secure.ru","1616716800","['phishing']"
"alfabank-help.ru","1616716800","['phishing']"
"alfabank-ru.payds.me","1616716800","['phishing']"
"alfabank.24pay3ds.com","1616716800","['phishing']"
"alfabank.3ds-paycash.ru","1616716800","['phishing']"
"alfabank.bank-payment.com","1616716800","['phishing']"
"alfabank.fast24pay.ru","1616716800","['phishing']"
"alfabank.global-payment.ru","1616716800","['phishing']"
"alfabank.i-3ds.ru","1616716800","['phishing']"
"alfabank.id102301.ru","1616716800","['phishing']"
"alfabank.id18423.ru","1616716800","['phishing']"
"alfabank.id23814.ru","1616716800","['phishing']"
"alfabank.id78581185.ru","1616716800","['phishing']"
"alfabank.info-24pay.ru","1616716800","['phishing']"
"alfabank.meepay.ru","1616716800","['phishing']"
"alfabank.meopay.ru","1616716800","['phishing']"
"alfabank.mn-pay.site","1616716800","['phishing']"
"alfabank.mn-pays.su","1616716800","['phishing']"
"alfabank.pay-id62846.xyz","1616716800","['phishing']"
"alfabank.pay-id62856.xyz","1616716800","['phishing']"
"alfabank.pay-money.site","1616716800","['phishing']"
"alfabank.pay-vax.ru","1616716800","['phishing']"
"alfabank.pay3dsecures.online","1616716800","['phishing']"
"alfabank.pay3dsecures.ru","1616716800","['phishing']"
"alfabank.paymanet.online","1616716800","['phishing']"
"alfabank.paymenet.online","1616716800","['phishing']"
"alfabank.pays-3d.ru","1616716800","['phishing']"
"alfabank.pays24-secure.ru","1616716800","['phishing']"
"alfabank.pays3d.online","1616716800","['phishing']"
"alfabank.payserv24.com","1616716800","['phishing']"
"alfabank.plz-pay.site","1616716800","['phishing']"
"alfabank.prime-pay.ru","1616716800","['phishing']"
"alfabank.primepay24.ru","1616716800","['phishing']"
"alfabank.reopay.ru","1616716800","['phishing']"
"alfabank.reppay.ru","1616716800","['phishing']"
"alfabank.ru-app.ru","1616716800","['phishing']"
"alfabank.ru-zpay.online","1616716800","['phishing']"
"alfabank.ru-zpay.xyz","1616716800","['phishing']"
"alfabank.ru.kassa-payment.net.ru","1616716800","['phishing']"
"alfabank.ru.playse.ru","1616716800","['phishing']"
"alfabank.safe-payed.com","1616716800","['phishing']"
"alfabank.send-order.ru","1616716800","['phishing']"
"alfabank.your-pay.online","1616716800","['phishing']"
"alfabonus3.ru","1616716800","['phishing']"
"alfamir3000.ru","1616716800","['phishing']"
"alfas-bonus3.ru","1616716800","['phishing']"
"alfas24.ru","1616716800","['phishing']"
"alfas3000rub.ru","1616716800","['phishing']"
"alfasbanks.ru","1616716800","['phishing']"
"alfasbonus3000.ru","1616716800","['phishing']"
"alfaservis02.ru","1616716800","['phishing']"
"alfass-banks.ru","1616716800","['phishing']"
"algreenstdykelveskbg.dns.army","1616716800","['malware']"
"alibale.xyz","1616716800","['malware']"
"alltheway.travel","1616716800","['malware']"
"alohaebid.com","1616716800","['malware']"
"alotderedreamhome.fun","1616716800","['malware']"
"alphamotorswolfpack.com","1616716800","['generic']"
"alumaicelodges.fish","1616716800","['generic']"
"alumalodge.fish","1616716800","['generic']"
"alvbht.cam","1616716800","['spam']"
"alvrtdy.work","1616716800","['spam']"
"always-on.mynetav.net","1616716800","['malware']"
"alwerm.work","1616716800","['spam']"
"amamontajes.com","1616716800","['malware']"
"amankan-facebook65.tk","1616716800","['phishing']"
"amaz-serverfr.com","1616716800","['generic']"
"amaz0nheeplmzqwetnfgfdogiu.top","1616716800","['spam']"
"amazan-coco.top","1616716800","['spam']"
"amazon-alertaccount3782935hiu32hr.alert1t2.net","1616716800","['malware']"
"amazon-auth.su","1616716800","['spam']"
"amazon-gmail.loan","1616716800","['spam']"
"amazon-jll.icu","1616716800","['generic']"
"amazon.co.jp.qtin.net.cn","1616716800","['malware']"
"amazon.fsddjc.com","1616716800","['phishing']"
"amazoncc.icu","1616716800","['spam']"
"amazonclix.com","1616716800","['spam']"
"amazoncojp.cloud","1616716800","['spam']"
"amazongmacojp.com","1616716800","['phishing']"
"amazonhh.icu","1616716800","['spam']"
"amazonproducts.ddns.net","1616716800","['malware']"
"amazontt.icu","1616716800","['spam']"
"amenzno.translations001.top","1616716800","['phishing']"
"amozon.account-update.amozon.co.jp.sing-amoneaz.top","1616716800","['malware']"
"amrtaia.work","1616716800","['spam']"
"amz-message-smujp.asia","1616716800","['malware']"
"amzonjsjdhjsjf.xyz","1616716800","['spam']"
"anaaiijan.work","1616716800","['spam']"
"anajaiina.work","1616716800","['spam']"
"anamazom.xyz","1616716800","['spam']"
"anamzoom.xyz","1616716800","['spam']"
"anayurt.net","1616716800","['generic']"
"anbsite.work","1616716800","['spam']"
"android-protect-app.com","1616716800","['generic']"
"angocass.com","1616716800","['generic']"
"aniani.top","1616716800","['spam']"
"anisoptera.online","1616716800","['malware']"
"anisoptera.ru","1616716800","['malware']"
"aniversary3rdevents.com","1616716800","['phishing']"
"anjaiiana.work","1616716800","['spam']"
"anjaniia.work","1616716800","['spam']"
"anolis.ru","1616716800","['malware']"
"anonymous:**hidden**password**@159.65.229.251","1616716800","['malware']"
"ansar.top","1616716800","['spam']"
"ansdlk.xyz","1616716800","['spam']"
"anticlimactickill.top","1616716800","['spam']"
"anticrisis-5000-alfa.ru","1616716800","['phishing']"
"antscatch.cam","1616716800","['spam']"
"anuses.xyz","1616716800","['spam']"
"aoazome.top","1616716800","['spam']"
"aolisi.cc","1616716800","['malware']"
"aoooo00000ererooo000.weebly.com","1616716800","['phishing']"
"apappl.cam","1616716800","['spam']"
"api-printsvc.co.in","1616716800","['malware']"
"api-staging.bdshkd-hcm.nexlesoft.com","1616716800","['malware']"
"api.onedvirer.xyz","1616716800","['generic']"
"apkprue.info","1616716800","['generic']"
"aplhaweightloss.buzz","1616716800","['spam']"
"apo-tr.de","1616716800","['spam']"
"apol-apollon-trx.de","1616716800","['spam']"
"apouvtios2.uno","1616716800","['generic']"
"app-servicemanage.com","1616716800","['spam']"
"app-storeapple.com","1616716800","['malware']"
"app-wizink.net","1616716800","['spam']"
"app.qingkapu.cn","1616716800","['malware']"
"appdfy.us","1616716800","['spam']"
"appgoo.us","1616716800","['spam']"
"appler.work","1616716800","['spam']"
"apppiln.cam","1616716800","['spam']"
"appronto.in","1616716800","['malware']"
"apusa.xyz","1616716800","['malware']"
"apwuofwuughuimc.ddns.net","1616716800","['generic']"
"aqua.xsden.info","1616716800","['malware']"
"aquagoat.com","1616716800","['malware']"
"aras.iuc.ac","1616716800","['malware']"
"arbrito.email","1616716800","['spam']"
"arch.civilengineeringiit.com","1616716800","['malware']"
"archristmas.com","1616716800","['malware']"
"arctiidae.ru","1616716800","['malware']"
"aretywer.xyz","1616716800","['malware']"
"ariaio.com","1616716800","['generic']"
"aritala.com","1616716800","['generic']"
"army-dod.org","1616716800","['generic']"
"arnazon.tk","1616716800","['phishing']"
"arnicad.xyz","1616716800","['malware']"
"arsfinan.com","1616716800","['spam']"
"art-logistics.ru","1616716800","['malware']"
"arthichi.site","1616716800","['malware']"
"arunach.work","1616716800","['spam']"
"asderyuop.cam","1616716800","['spam']"
"asets.pl","1616716800","['malware']"
"asforthemines99.uno","1616716800","['c2']"
"asgtyero.cam","1616716800","['spam']"
"asilidae.online","1616716800","['malware']"
"asnrg84tr15e.ddns.net","1616716800","['malware']"
"asrteyi.cam","1616716800","['spam']"
"assasysa.online","1616716800","['malware']"
"assets.coinbase.com.zendezksupportsystem.com","1616716800","['malware']"
"assetsmile.com","1616716800","['generic']"
"assistanceclient.simplybook.it","1616716800","['phishing']"
"assistfinan.com","1616716800","['spam']"
"associationable.com","1616716800","['malware']"
"atitic.com","1616716800","['generic']"
"atlfinan.com","1616716800","['spam']"
"atmasa.work","1616716800","['spam']"
"attachments.pw","1616716800","['malware']"
"atte0000000oooooeer000oooo.weebly.com","1616716800","['phishing']"
"attmailcontrolcenter.weebly.com","1616716800","['phishing']"
"attmailverified.weebly.com","1616716800","['phishing']"
"attnetlink645.weebly.com","1616716800","['phishing']"
"attonliness.weebly.com","1616716800","['phishing']"
"auasic.com","1616716800","['generic']"
"austelii.cam","1616716800","['spam']"
"australiafashions.com","1616716800","['malware']"
"austrix.serveblog.net","1616716800","['malware']"
"auth-roymailparcel-redirect.com","1616716800","['phishing']"
"auth.emvstudio.com","1616716800","['malware']"
"autolubfinan.com","1616716800","['spam']"
"auuafvi5eh.com","1616716800","['spam']"
"averic.tech","1616716800","['spam']"
"avito-buy.ru","1616716800","['phishing']"
"avito-buyer.site","1616716800","['phishing']"
"avito-buypay.ru","1616716800","['phishing']"
"avito-delivery-b.ru","1616716800","['phishing']"
"avito-delivery.co","1616716800","['phishing']"
"avito-delivery.ru.com","1616716800","['phishing']"
"avito-delivery.site","1616716800","['phishing']"
"avito-dostavka.tk","1616716800","['phishing']"
"avito-dostawka.ru","1616716800","['phishing']"
"avito-ecard.ru","1616716800","['phishing']"
"avito-merchant.ru","1616716800","['phishing']"
"avito-order.ru.pay-check.info","1616716800","['phishing']"
"avito-pay.ru-merchant.online","1616716800","['phishing']"
"avito-pay.ru.com","1616716800","['phishing']"
"avito-pay.ru.deal-safe.website","1616716800","['phishing']"
"avito-pay.ru.id-merchant.site","1616716800","['phishing']"
"avito-pay.ru.id-merchant.website","1616716800","['phishing']"
"avito-pay.ru.item-check.site","1616716800","['phishing']"
"avito-pay.ru.merchant-pay.website","1616716800","['phishing']"
"avito-pay.ru.new-orders.website","1616716800","['phishing']"
"avito-pay.ru.safe-id.website","1616716800","['phishing']"
"avito-pay.ru.safe-merch.website","1616716800","['phishing']"
"avito-pay24.ru","1616716800","['phishing']"
"avito-paying.com","1616716800","['phishing']"
"avito-payoffer.ru","1616716800","['phishing']"
"avito-payorder.ru","1616716800","['phishing']"
"avito-r.pays24-secure.ru","1616716800","['phishing']"
"avito-rent.100pays.xyz","1616716800","['phishing']"
"avito-rent.24pay3ds.com","1616716800","['phishing']"
"avito-rent.3dpay.info","1616716800","['phishing']"
"avito-rent.bank-payment.com","1616716800","['phishing']"
"avito-rent.buy-3ds.pro","1616716800","['phishing']"
"avito-rent.delivery-3ds.ru","1616716800","['phishing']"
"avito-rent.eccomerce.ml","1616716800","['phishing']"
"avito-rent.eccomerce.tk","1616716800","['phishing']"
"avito-rent.ez-pays.ru","1616716800","['phishing']"
"avito-rent.id-2315917.site","1616716800","['phishing']"
"avito-rent.id-24155.ml","1616716800","['phishing']"
"avito-rent.id122398.ru","1616716800","['phishing']"
"avito-rent.id18423.ru","1616716800","['phishing']"
"avito-rent.id192821.site","1616716800","['phishing']"
"avito-rent.id23814.ru","1616716800","['phishing']"
"avito-rent.id6673991.ru","1616716800","['phishing']"
"avito-rent.id710.ru","1616716800","['phishing']"
"avito-rent.id78581185.ru","1616716800","['phishing']"
"avito-rent.id798100.ru","1616716800","['phishing']"
"avito-rent.id808776.ru","1616716800","['phishing']"
"avito-rent.id827232.ml","1616716800","['phishing']"
